,bus_score,date,gmap_score,hystreet_score,index,nationalExpress_score,national_score,regional_score,suburban_score,zug_score
29,,2020-03-21,,,03457,,1.0,0.9917355371900827,,0.9923664122137404
30,,2020-03-21,,0.4102185325897063,04011,0.9130434782608696,0.8717948717948718,0.9904761904761905,1.0,0.9922413793103448
31,,2020-03-21,,,04012,,,0.98125,1.0,0.9881422924901185
32,,2020-03-21,,0.38323257855402704,05111,0.8202247191011236,0.8076923076923077,0.7897623400365631,0.5269431338465359,0.564725954361271
33,,2020-03-21,,,05112,0.8571428571428571,0.8260869565217391,0.7710557532621589,0.5061124694376529,0.7020669992872417
34,,2020-03-21,,0.39915122559641464,05113,0.8846153846153846,0.78125,0.9064994298745724,0.7583774250440918,0.8021944529106979
35,,2020-03-21,,0.6309221129810746,05114,,,0.7944664031620553,,0.7944664031620553
36,,2020-03-21,,0.6837331650807937,05116,,,,,
37,,2020-03-21,,,05122,1.0,1.0,1.0,0.8313817330210773,0.8736842105263158
38,,2020-03-21,,0.6356552808346434,05124,,,,,
39,,2020-03-21,,,05154,,,0.9385593220338984,,0.9385593220338984
40,,2020-03-21,,,05158,,,1.0,0.6004784688995215,0.6411174785100286
41,,2020-03-21,,,05162,,,0.753030303030303,0.5306772908366534,0.6073107049608355
42,,2020-03-21,,,05166,,,0.8970588235294118,,0.8970588235294118
43,,2020-03-21,,0.39645617633265084,05314,1.0,0.7297297297297297,0.8287037037037037,0.5627705627705628,0.7419804741980474
44,,2020-03-21,,0.30285530729011867,05315,0.8035714285714286,0.8269230769230769,0.652738565782044,0.4228843861740167,0.499673735725938
45,,2020-03-21,,0.352120518837295,05334,0.2727272727272727,,0.27593942793045434,0.2142857142857143,0.27542605827377686
46,,2020-03-21,,,05358,,,0.4871794871794871,0.5,0.4916201117318436
47,,2020-03-21,,,05362,,,0.4843750000000001,0.5463917525773196,0.5051903114186851
48,,2020-03-21,,,05366,,,0.6587677725118484,0.5773195876288659,0.6435452793834296
49,,2020-03-21,,0.5263555333055518,05378,,,,,
50,1.0,2020-03-21,,,05382,0.8958333333333334,,0.44084934277047527,0.4795560747663551,0.4732824427480916
51,,2020-03-21,,,05512,,,0.8368794326241135,0.975,0.8540372670807453
52,,2020-03-21,,,05513,1.0,0.8846153846153846,0.6440217391304348,1.0,0.7248459958932238
53,,2020-03-21,,0.40498935132056957,05515,,,,,
54,,2020-03-21,,0.6659729448491155,05554,,,0.7703703703703704,,0.7703703703703704
55,,2020-03-21,,,05558,,,0.74,,0.74
56,,2020-03-21,,,05562,1.0,1.0,0.6806282722513088,1.0,0.7182448036951501
57,,2020-03-21,,,05566,,0.9583333333333334,0.9393939393939394,,0.9399744572158365
